Malignant Cell,Cluster
N_N_P0720_04434,17
N_N_P0720_04435,17
N_N_P0720_04436,17
N_N_P0720_04441,17
N_N_P0720_04442,17
N_N_P0720_04444,17
N_N_P0720_04445,17
N_N_P0720_04448,17
N_N_P0720_04449,17
N_N_P0720_04453,17
N_N_P0720_04455,17
N_N_P0720_04456,17
N_N_P0720_04457,17
N_N_P0720_04458,17
N_N_P0720_04460,17
N_N_P0720_04461,17
N_N_P0720_04462,17
N_N_P0720_04463,17
N_N_P0720_04468,17
N_N_P0720_04469,17
N_N_P0720_04470,17
N_N_P0720_04478,17
N_N_P0720_04479,17
N_T_P0720_04600,17
N_T_P0720_04614,17
N_T_P0720_04622,17
N_T_P0720_04626,17
N_T_P0720_04633,17
N_T_P0720_04644,17
N_T_P0720_04657,17
N_T_P0720_04662,17
N_T_P0720_04665,17
N_T_P0720_04669,17
N_T_P0720_04670,17
N_T_P0720_04678,17
N_T_P0720_04684,17
N_T_P0720_04688,17
N_T_P0720_04692,17
N_T_P0720_04693,17
N_T_P0720_04694,17
N_T_P0720_04696,17
N_T_P0720_04701,17
N_T_P0720_04702,17
N_T_P0720_04713,17
N_T_P0720_04720,17
N_T_P0720_04729,17
N_T_P0720_04731,17
N_T_P0720_04734,17
N_T_P0720_04739,17
N_T_P0720_04748,17
N_T_P0720_04751,17
N_T_P0720_04753,17
N_T_P0720_04754,17
N_T_P0720_04756,17
N_T_P0720_04758,17
N_T_P0720_04761,17
N_T_P0720_04772,17
N_T_P0720_04775,17
N_T_P0720_04777,17
N_T_P0720_04784,17
N_T_P0720_04785,17
N_T_P0720_04786,17
N_T_P0720_04787,17
N_T_P0720_04796,17
N_T_P0720_04797,17
N_T_P0720_04802,17
N_T_P0720_04804,17
N_T_P0720_04806,17
N_T_P0720_04811,17
N_T_P0720_04818,17
N_T_P0720_04820,17
N_T_P0720_04822,17
N_T_P0720_04823,17
N_T_P0720_04825,17
N_N_P0728_04983,17
N_N_P0728_04985,17
N_N_P0728_04988,17
N_N_P0728_04998,17
N_N_P0728_05000,17
N_N_P0728_05001,17
N_N_P0728_05002,17
N_N_P0728_05003,17
N_N_P0728_05004,17
N_N_P0728_05005,17
N_N_P0825_06112,17
N_N_P0825_06114,17
N_N_P0825_06115,17
N_N_P0825_06117,17
N_N_P0825_06118,17
N_N_P0825_06119,17
N_N_P0825_06120,17
N_N_P0825_06123,17
N_N_P0825_06124,17
N_N_P0825_06126,17
N_N_P0825_06127,17
N_N_P0825_06128,17
N_N_P0825_06130,17
N_N_P0825_06133,17
N_N_P0825_06134,17
N_N_P0825_06135,17
N_N_P0825_06136,17
N_N_P0825_06137,17
N_N_P0825_06139,17
N_N_P0825_06140,17
N_N_P0825_06145,17
N_N_P0825_06147,17
N_N_P0825_06150,17
N_N_P0825_06156,17
N_N_P0825_06157,17
N_N_P0825_06160,17
N_N_P0825_06162,17
N_N_P0825_06163,17
N_N_P0825_06166,17
N_N_P0825_06168,17
N_N_P0825_06169,17
